ID_Venta,Fecha_Venta,Tipo_Foto,Cantidad,Precio_Unitario,CUIT_Cliente
1,29/03/2019,POLAROID_11x9,90,11.02,20-11395375-5
2,22/07/2018,POLAROID_10x10,22,20.55,21*33782109-5
3,10/09/2018,5R_13x18,186,19.08,20-11395375-5
4,23/06/2018,POLAROID_10x10,53,15.42,20-31273204-5
5,09/06/2019,4R_10x15,130,19.12,20-22466487-4
6,09/09/2018,4R_10x15,36,15.8,20-4373950-4
7,28/12/2018,5R_13x18,20,12.44,21-33782109-5
8,06/08/2018,4R_10x15,72,17.51,20-11395375-5
9,28/11/2018,POLAROID_11x9,26,11.4,20-11395375-5
10,16/01/2019,4R_10x15,8,20.91,20-33263109-4
11,06/11/2018,6R_15x20,84,11.57,20-31273204-5
12,28/04/2019,6R_15x20,121,19.19,21-33782109-5
13,28/01/2019,POLAROID_10x10,76,22.74,20-22466487-4
14,26/07/2A18,6R_15x20,146,16.95,20-4373950-4
15,24/10/2018,6R_15x20,189,20.81,20-31273204-5
16,20/02/2019,5R_13x18,131,20.38,20-4373950-4
17,01/01/2019,POLAROID_11x9,190,12.58,20-33263109-4
18,17/05/2019,POLAROID_11x9,175,11.9,20-4373950-4
19,30/08/2018,8R_20x25,197,16.74,20-33263109-4
20,2A/02/2019,8R_20x25,22,14.14,20-31273204-5
21,06/12/2018,5R_13x18,45,13.55,20-22466487-4
22,21/06/2018,4R_10x15,126,18.94,21-33782109-5
23,18/04/2019,8R_20x25,48,20.45,21-33782109-5
24,17/11/2018,4R_10x15,79,19.03,20-11395375*5
25,28/04/2019,POLAROID_10x10,76,18.39,20-31273204-5
26,02/07/2018,POLAROID_11x9,21,18.45,20-11395375-5
27,22/06/2018,5R_13x18,191,14.14,20-11395375-5
28,15/10/2018,POLAROID_11x9,133,22.14,20-11395375-5
29,24/03/2019,6R_15x20,101,16.51,21-33782109-5
30,19/06/2019,POLAROID_11x9,44,11.69,20-33263109-4
31,23/02/2019,POLAROID_11x9,15,17.96,20-11395375-5
32,07/11/2018,6R_15x20,5,22.2,20-11395375-5
33,19/10/2018,POLAROID_11x9,28,21.35,21-33782109-5
34,25/09/2018,8R_20x25,158,11.94,20-33263109-4
35,27/10/2018,5R_13x18,53,19.1,20-4373950-4
36,10/03/2019,6R_15x20,161,12.8,21-33782109-5
